Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Financial_State_Rule,Pass_Ratio,Company_Label
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,Healthy,0.75,ADP - Sơn Á Đông
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,Stable,0.5,ADP - Sơn Á Đông
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,Healthy,0.75,ADP - Sơn Á Đông
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,High_Risk,0.0,ADS - Dệt sợi DAMSAN
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,At_Risk,0.25,ADS - Dệt sợi DAMSAN
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2022,At_Risk,0.25,ADS - Dệt sợi DAMSAN
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2023,At_Risk,0.25,ADS - Dệt sợi DAMSAN
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2024,High_Risk,0.0,ADS - Dệt sợi DAMSAN
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2020,Stable,0.5,AGM - XNK An Giang
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2021,At_Risk,0.25,AGM - XNK An Giang
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2022,At_Risk,0.25,AGM - XNK An Giang
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2023,High_Risk,0.0,AGM - XNK An Giang
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2024,At_Risk,0.25,AGM - XNK An Giang
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,At_Risk,0.25,ANV - Thủy sản Nam Việt
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,High_Risk,0.0,ANV - Thủy sản Nam Việt
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,Stable,0.5,ANV - Thủy sản Nam Việt
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,At_Risk,0.25,ANV - Thủy sản Nam Việt
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,At_Risk,0.25,ANV - Thủy sản Nam Việt
APC,Chiếu xạ An Phú,Dược phẩm và Y tế,Y tế,Dược phẩm,Công nghệ sinh học,2020,Stable,0.5,APC - Chiếu xạ An Phú
APC,Chiếu xạ An Phú,Dược phẩm và Y tế,Y tế,Dược phẩm,Công nghệ sinh học,2021,Stable,0.5,APC - Chiếu xạ An Phú
APC,Chiếu xạ An Phú,Dược phẩm và Y tế,Y tế,Dược phẩm,Công nghệ sinh học,2022,At_Risk,0.25,APC - Chiếu xạ An Phú
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2020,At_Risk,0.25,APH - Tập đoàn An Phát Holdings
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2021,Stable,0.5,APH - Tập đoàn An Phát Holdings
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2022,Stable,0.5,APH - Tập đoàn An Phát Holdings
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2023,At_Risk,0.25,APH - Tập đoàn An Phát Holdings
