Symbol,Company Name,Industry,Start Year,End Year,Overall State,Trend
HTI,PT Hạ tầng IDICO,Công nghiệp,2020,2024,High Risk,Improving
HTL,Ô tô Trường Long,Hàng Tiêu dùng,2020,2024,Stable,Deteriorating
HTV,Logistics Vicem,Công nghiệp,2020,2024,Stable,Deteriorating
HU1,Xây dựng HUD1,Công nghiệp,2020,2024,High Risk,Stable
HUB,Xây lắp Huế,Công nghiệp,2020,2024,At Risk,Stable
HVH,Đầu tư và Công nghệ HVC,Công nghiệp,2020,2024,At Risk,Deteriorating
HVN,Vietnam Airlines,Dịch vụ Tiêu dùng,2020,2024,High Risk,Improving
HVX,Xi măng Vicem Hải Vân,Công nghiệp,2020,2024,At Risk,Stable
ICT,Viễn thông - Tin học Bưu điện,Công nghệ Thông tin,2020,2024,At Risk,Improving
IDI,Đầu tư và PT Đa Quốc Gia,Hàng Tiêu dùng,2020,2024,High Risk,Improving
ILB,ICD Tân Cảng Long Bình,Công nghiệp,2020,2024,High Risk,Improving
IMP,IMEXPHARM,Dược phẩm và Y tế,2020,2024,Stable,Improving
ITD,Công nghệ Tiên Phong,Công nghệ Thông tin,2020,2024,Stable,Deteriorating
JVC,Đầu tư và Phát triển Y tế Việt Nhật,Dược phẩm và Y tế,2020,2024,At Risk,Improving
KDC,Tập đoàn KIDO,Hàng Tiêu dùng,2020,2024,High Risk,Deteriorating
KHP,Điện lực Khánh Hòa,Tiện ích Cộng đồng,2020,2024,At Risk,Improving
KMR,MIRAE,Hàng Tiêu dùng,2020,2024,At Risk,Stable
KPF,Đầu tư Tài sản KOJI,Công nghiệp,2020,2024,At Risk,Improving
KSB,Khoáng sản Bình Dương,Nguyên vật liệu,2020,2024,High Risk,Stable
L10,LILAMA 10,Công nghiệp,2020,2024,At Risk,Stable
LAF,Chế biến Hàng XK Long An,Hàng Tiêu dùng,2020,2024,Healthy,Stable
LBM,Khoáng sản Lâm Đồng,Công nghiệp,2020,2024,Healthy,Stable
LCG,LIZEN,Công nghiệp,2020,2024,High Risk,Stable
LGC,Đầu tư Cầu đường CII,Công nghiệp,2020,2024,High Risk,Improving
LIX,Bột Giặt Lix,Hàng Tiêu dùng,2020,2024,Healthy,Stable
LM8,LILAMA 18,Công nghiệp,2020,2024,At Risk,Stable
LSS,Mía đường Lam Sơn,Hàng Tiêu dùng,2020,2024,High Risk,Deteriorating
MCM,Giống bò sữa Mộc Châu,Hàng Tiêu dùng,2023,2024,Healthy,Stable
MCP,In và Bao bì Mỹ Châu,Công nghiệp,2020,2024,Stable,Improving
MDG,Xây dựng Miền Đông,Công nghiệp,2020,2024,High Risk,Deteriorating
MHC,CTCP MHC,Công nghiệp,2020,2024,At Risk,Stable
MSH,May Sông Hồng,Hàng Tiêu dùng,2020,2024,Stable,Deteriorating
MSN,Tập đoàn Masan,Hàng Tiêu dùng,2020,2024,High Risk,Stable
MWG,Thế giới di động,Dịch vụ Tiêu dùng,2020,2024,At Risk,Stable
NAF,Nafoods Group,Hàng Tiêu dùng,2020,2024,At Risk,Stable
NAV,Tấm lợp và gỗ Nam Việt,Công nghiệp,2020,2024,Healthy,Improving
NCG,Nova Consumer,Hàng Tiêu dùng,2020,2022,At Risk,Improving
NCT,DV Hàng hóa Nội Bài,Công nghiệp,2020,2024,Healthy,Stable
NHA,PT Nhà và Đô thị Nam HN,Công nghiệp,2020,2024,At Risk,Deteriorating
NHH,Nhựa Hà Nội,Nguyên vật liệu,2020,2024,At Risk,Improving
NHT,Sản xuất và Thương mại Nam Hoa,Hàng Tiêu dùng,2020,2024,At Risk,Deteriorating
NKG,Thép Nam Kim,Nguyên vật liệu,2020,2024,At Risk,Stable
NNC,Đá Núi Nhỏ,Công nghiệp,2020,2024,Stable,Stable
NO1,Tâp đoàn 911,Công nghiệp,2020,2024,At Risk,Stable
