Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Current_Ratio,Quick_Ratio,Cash_Ratio,Debt_Equity,Net_Leverage,Asset_Turnover,Fixed_Asset_Turnover,ROA,ROE,ROS,ln_Total_Assets,ln_Revenue,Efficiency,Leverage,Liquidity,Profitability
DRC,Cao su Đà Nẵng,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2024,1.3068173721708505,0.4508630567849873,0.1033854633210352,1.1906732373883484,13.472638642655706,1.1136087030083022,3.852950782900372,0.055212922045071,0.1209534706821462,0.049580181886078,8.342195169358538,8.449776689046796,Asset_Turnover,Net_Leverage,Current_Ratio,ROA
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2020,9.49842435682876,9.401992817806349,6.016621256422494,0.0828790401878549,-1.04262238640639,0.6565925499908997,2.544667546014916,0.4003927969147895,0.433576967621218,0.6098040511125795,4.999671991992971,4.582499373065415,Fixed_Asset_Turnover,Debt_Equity,Quick_Ratio,ROE
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2021,7.688990188587501,7.623252132481364,0.9059173319233468,0.1007952486965491,0.0233766171389353,0.7101733688057695,2.4452907352415183,0.4178255280390174,0.4599403560494772,0.588342996783496,4.910186655528116,4.570944184197956,Asset_Turnover,Debt_Equity,Quick_Ratio,ROA
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2022,5.325892243759004,5.269512992037478,0.6499264812566296,0.1494264919635229,0.1307187978950777,0.8507625151877686,2.870748612502172,0.4648666592870066,0.5343300534150663,0.5464117788316141,4.900175166462953,4.739858081558953,Asset_Turnover,Net_Leverage,Quick_Ratio,ROA
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2023,5.640033996235426,5.57722717134854,0.1345197751408669,0.1451589417311601,0.3393218992378135,0.7846841414646062,2.8372303905564324,0.4319199629022682,0.4946170076297234,0.5504379916434826,4.907883002248745,4.667434224553273,Asset_Turnover,Debt_Equity,Current_Ratio,ROA
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2024,6.382193109498084,6.296028813043323,0.3072824340502226,0.122923909961555,0.2894786445946865,0.718061793899966,2.478501227947855,0.350988087351279,0.3941329153984261,0.4887992793001539,4.853634484648871,4.525492720708764,Asset_Turnover,Net_Leverage,Quick_Ratio,ROS
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2020,15.784813474762696,15.653894186635734,2.8658547116472697,0.0878692374520699,-0.557416818235986,0.3758098602991872,11.879581294352093,0.1819822721918387,0.1979729156791306,0.4842402805689031,5.417085944384811,4.445761526241599,Fixed_Asset_Turnover,Debt_Equity,Quick_Ratio,ROA
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2021,10.722840234251429,10.585914215371066,4.203033937637422,0.0970203527052497,-2.5921266146966944,0.125763272576019,8.23242966762318,0.1207874126204559,0.1325062499952471,0.960434713142859,5.306826398639868,3.267354669992411,Fixed_Asset_Turnover,Debt_Equity,Quick_Ratio,ROA
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2022,8.26450161847104,8.183065158154532,2.84497465504444,0.1297359739577118,-0.71405003966895,0.8194436943766333,26.09794735002064,0.3802493323539198,0.4295813498336253,0.4640335082975809,5.650156288327938,5.451801326654231,Fixed_Asset_Turnover,Debt_Equity,Quick_Ratio,ROA
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2023,11.398069436552722,11.30122751349508,1.3496662757530793,0.0934709285992028,-0.1063625094550726,0.7183500439133943,16.16181202458171,0.3246890354869293,0.3550380211398721,0.4519927829587137,5.850786877114991,5.521116198501354,Asset_Turnover,Debt_Equity,Current_Ratio,ROA
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2024,6.138023109104849,6.083137056407836,1.2605219499741227,0.1831100962294278,-0.1867241295905425,0.5816698590660203,10.103420215448766,0.2474684945377314,0.292782474386287,0.4254449335488834,5.92734833456958,5.3874112804029215,Asset_Turnover,Net_Leverage,Current_Ratio,ROS
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2020,1.218635986681749,0.149033702997024,0.0034222596024739,1.4034069830022504,21.26600795189803,0.8160053370926587,4.274336485688856,0.0087504330162221,0.0210308518154817,0.0107234997351843,7.795664184575159,7.592422586169099,Asset_Turnover,Debt_Equity,Quick_Ratio,ROA
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2021,1.4457372624541145,0.2085034814182352,0.0068561874561002,0.7732325274661348,9.24280185671398,0.7315722602693235,3.025598443839014,0.0297395678882392,0.0527351691322131,0.0406515794862024,7.543471889748179,7.231106895255839,Asset_Turnover,Net_Leverage,Current_Ratio,ROA
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2022,1.260227795076674,0.3665903285588985,0.0029144988601312,1.5981810619027637,-12.462888106578532,0.6807831047065884,4.655614353853267,-0.0644471561030236,-0.167445380480367,-0.0946662096304516,7.770480522440057,7.386166863274709,Fixed_Asset_Turnover,Net_Leverage,Current_Ratio,ROE
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2023,1.2396735880219458,0.3369448528234897,0.0210577005242585,1.7443383831274402,-5.51157655894942,0.9511723878424057,6.481815179810441,-0.0753256942389258,-0.2067191939356057,-0.0791924736269848,7.637140091560118,7.587104882070484,Fixed_Asset_Turnover,Net_Leverage,Current_Ratio,ROA
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2024,1.197873404364007,0.3360770323362194,0.003246051823959,1.867372026602496,-151.921095173686,0.9241105930991904,6.363995534137969,0.0009551150722149,0.0027386702402554,0.0010335506154211,7.683610805498946,7.604725081144087,Asset_Turnover,Debt_Equity,Current_Ratio,ROA
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,2.0948954770085555,1.423092307727753,0.9928669521703012,0.3540881306449126,0.1478095004437262,0.9346064030842276,2.0956697065381267,0.0517226091520227,0.0700369711387399,0.0553415951156943,5.132345241551266,5.065128365548944,Asset_Turnover,Debt_Equity,Quick_Ratio,ROA
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,2.522339963129317,1.316626292837524,0.6148523215482167,0.2537310693698668,13.30314953225704,1.030415265308202,2.117936374317064,0.0227722620500328,0.0285502924519584,0.0221000821869826,5.031208934647403,5.060978031219364,Asset_Turnover,Net_Leverage,Current_Ratio,ROA
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,2.403677722046738,1.494156757349135,0.898134645808598,0.2898764343728422,0.7686681071170774,1.1212584647048385,2.506522311707582,0.0552817292284223,0.0713065997831223,0.0493032881967805,5.122420590926288,5.236227352371921,Fixed_Asset_Turnover,Net_Leverage,Current_Ratio,ROE
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,2.2005528829552228,1.328804024900557,0.6841931358226929,0.3158709440835046,3.000508245782618,0.9980573868038564,2.209221277497877,0.0495937160395529,0.0652589299455757,0.0496902449651418,5.150276599397953,5.148343381624342,Fixed_Asset_Turnover,Net_Leverage,Current_Ratio,ROA
