Ticker,Company Name,Industry,Year (t),Year (t+1),Financial State (t),Financial State (t+1)
CHP,Thủy điện Miền Trung,Tiện ích Cộng đồng,2020,2021,Stable,At_Risk
CHP,Thủy điện Miền Trung,Tiện ích Cộng đồng,2021,2022,At_Risk,Stable
CHP,Thủy điện Miền Trung,Tiện ích Cộng đồng,2022,2023,Stable,Stable
CHP,Thủy điện Miền Trung,Tiện ích Cộng đồng,2023,2024,Stable,Stable
CIG,Xây dựng COMA 18,Công nghiệp,2020,2021,High_Risk,High_Risk
CIG,Xây dựng COMA 18,Công nghiệp,2021,2022,High_Risk,High_Risk
CIG,Xây dựng COMA 18,Công nghiệp,2022,2023,High_Risk,High_Risk
CIG,Xây dựng COMA 18,Công nghiệp,2023,2024,High_Risk,At_Risk
CII,Hạ tầng Kỹ thuật TP.HCM,Công nghiệp,2020,2021,High_Risk,High_Risk
CII,Hạ tầng Kỹ thuật TP.HCM,Công nghiệp,2021,2022,High_Risk,High_Risk
CII,Hạ tầng Kỹ thuật TP.HCM,Công nghiệp,2022,2023,High_Risk,High_Risk
CII,Hạ tầng Kỹ thuật TP.HCM,Công nghiệp,2023,2024,High_Risk,High_Risk
CLC,Thuốc lá Cát Lợi,Hàng Tiêu dùng,2020,2021,Healthy,Healthy
CLC,Thuốc lá Cát Lợi,Hàng Tiêu dùng,2021,2022,Healthy,Healthy
CLC,Thuốc lá Cát Lợi,Hàng Tiêu dùng,2022,2023,Healthy,Healthy
CLC,Thuốc lá Cát Lợi,Hàng Tiêu dùng,2023,2024,Healthy,Stable
CLL,Cảng Cát Lái,Công nghiệp,2020,2021,Healthy,Healthy
CLL,Cảng Cát Lái,Công nghiệp,2021,2022,Healthy,Healthy
CLL,Cảng Cát Lái,Công nghiệp,2022,2023,Healthy,Stable
CLL,Cảng Cát Lái,Công nghiệp,2023,2024,Stable,Healthy
CLW,Cấp nước Chợ Lớn,Tiện ích Cộng đồng,2020,2021,Healthy,Stable
CLW,Cấp nước Chợ Lớn,Tiện ích Cộng đồng,2021,2022,Stable,Stable
CLW,Cấp nước Chợ Lớn,Tiện ích Cộng đồng,2022,2023,Stable,Stable
CLW,Cấp nước Chợ Lớn,Tiện ích Cộng đồng,2023,2024,Stable,Stable
CMG,Tập đoàn Công nghệ CMC,Công nghệ Thông tin,2020,2021,Healthy,Stable
CMG,Tập đoàn Công nghệ CMC,Công nghệ Thông tin,2021,2022,Stable,At_Risk
CMG,Tập đoàn Công nghệ CMC,Công nghệ Thông tin,2022,2023,At_Risk,At_Risk
CMG,Tập đoàn Công nghệ CMC,Công nghệ Thông tin,2023,2024,At_Risk,Stable
CMV,Thương nghiệp Cà Mau,Dịch vụ Tiêu dùng,2020,2021,Stable,Healthy
CMV,Thương nghiệp Cà Mau,Dịch vụ Tiêu dùng,2021,2022,Healthy,At_Risk
CMV,Thương nghiệp Cà Mau,Dịch vụ Tiêu dùng,2022,2023,At_Risk,At_Risk
CMV,Thương nghiệp Cà Mau,Dịch vụ Tiêu dùng,2023,2024,At_Risk,At_Risk
CMX,CAMIMEX Group,Hàng Tiêu dùng,2020,2021,High_Risk,At_Risk
CMX,CAMIMEX Group,Hàng Tiêu dùng,2021,2022,At_Risk,At_Risk
