Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Selected_Size_Indicator,Size_Label
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,ln_Total_Assets,Large
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,ln_Total_Assets,Large
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,ln_Total_Assets,Large
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,ln_Total_Assets,Large
APC,Chiếu xạ An Phú,Dược phẩm và Y tế,Y tế,Dược phẩm,Công nghệ sinh học,2020,ln_Total_Assets,Small
APC,Chiếu xạ An Phú,Dược phẩm và Y tế,Y tế,Dược phẩm,Công nghệ sinh học,2021,ln_Total_Assets,Small
APC,Chiếu xạ An Phú,Dược phẩm và Y tế,Y tế,Dược phẩm,Công nghệ sinh học,2022,ln_Total_Assets,Small
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2020,ln_Revenue,Large
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2021,ln_Revenue,Large
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2022,ln_Revenue,Large
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2023,ln_Revenue,Large
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2024,ln_Revenue,Large
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2020,ln_Revenue,Medium
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2021,ln_Revenue,Medium
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2022,ln_Revenue,Large
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2023,ln_Revenue,Large
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2024,ln_Revenue,Large
