Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Selected_Size_Indicator,Size_Label
NAF,Nafoods Group,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát,2022,ln_Total_Assets,Medium
NAF,Nafoods Group,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát,2023,ln_Total_Assets,Medium
NAF,Nafoods Group,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát,2024,ln_Total_Assets,Medium
NAV,Tấm lợp và gỗ Nam Việt,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,ln_Revenue,Small
NAV,Tấm lợp và gỗ Nam Việt,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,ln_Revenue,Small
NAV,Tấm lợp và gỗ Nam Việt,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,ln_Revenue,Small
NAV,Tấm lợp và gỗ Nam Việt,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,ln_Revenue,Small
NAV,Tấm lợp và gỗ Nam Việt,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,ln_Revenue,Small
NCG,Nova Consumer,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,ln_Total_Assets,Large
NCG,Nova Consumer,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,ln_Total_Assets,Medium
NCG,Nova Consumer,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,ln_Total_Assets,Large
NCT,DV Hàng hóa Nội Bài,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2020,ln_Revenue,Medium
NCT,DV Hàng hóa Nội Bài,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2021,ln_Revenue,Medium
NCT,DV Hàng hóa Nội Bài,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2022,ln_Revenue,Medium
NCT,DV Hàng hóa Nội Bài,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2023,ln_Revenue,Medium
NCT,DV Hàng hóa Nội Bài,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2024,ln_Revenue,Medium
NHA,PT Nhà và Đô thị Nam HN,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,ln_Revenue,Small
NHA,PT Nhà và Đô thị Nam HN,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,ln_Revenue,Small
NHA,PT Nhà và Đô thị Nam HN,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,ln_Revenue,Small
NHA,PT Nhà và Đô thị Nam HN,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,ln_Revenue,Small
NHA,PT Nhà và Đô thị Nam HN,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,ln_Revenue,Small
NHH,Nhựa Hà Nội,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,ln_Total_Assets,Medium
NHH,Nhựa Hà Nội,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,ln_Total_Assets,Medium
NHH,Nhựa Hà Nội,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,ln_Total_Assets,Medium
NHH,Nhựa Hà Nội,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,ln_Total_Assets,Medium
NHH,Nhựa Hà Nội,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,ln_Total_Assets,Medium
NHT,Sản xuất và Thương mại Nam Hoa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Đồ chơi,2020,ln_Total_Assets,Small
NHT,Sản xuất và Thương mại Nam Hoa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Đồ chơi,2021,ln_Total_Assets,Small
NHT,Sản xuất và Thương mại Nam Hoa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Đồ chơi,2022,ln_Total_Assets,Small
NHT,Sản xuất và Thương mại Nam Hoa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Đồ chơi,2023,ln_Total_Assets,Small
NHT,Sản xuất và Thương mại Nam Hoa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Đồ chơi,2024,ln_Total_Assets,Small
NKG,Thép Nam Kim,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2020,ln_Total_Assets,Large
NKG,Thép Nam Kim,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2021,ln_Total_Assets,Large
NKG,Thép Nam Kim,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2022,ln_Total_Assets,Large
NKG,Thép Nam Kim,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2023,ln_Total_Assets,Large
NKG,Thép Nam Kim,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2024,ln_Total_Assets,Large
NNC,Đá Núi Nhỏ,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,ln_Revenue,Small
NNC,Đá Núi Nhỏ,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,ln_Revenue,Small
NNC,Đá Núi Nhỏ,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,ln_Revenue,Small
NNC,Đá Núi Nhỏ,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,ln_Revenue,Small
NNC,Đá Núi Nhỏ,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,ln_Revenue,Small
NO1,Tâp đoàn 911,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2020,ln_Revenue,Small
NO1,Tâp đoàn 911,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2021,ln_Revenue,Small
NO1,Tâp đoàn 911,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2022,ln_Revenue,Medium
NO1,Tâp đoàn 911,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2023,ln_Revenue,Medium
NO1,Tâp đoàn 911,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,2024,ln_Revenue,Medium
NSC,Tập đoàn Giống cây trồng Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,ln_Total_Assets,Medium
NSC,Tập đoàn Giống cây trồng Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,ln_Total_Assets,Medium
NSC,Tập đoàn Giống cây trồng Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,ln_Total_Assets,Medium
NSC,Tập đoàn Giống cây trồng Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,ln_Total_Assets,Medium
NSC,Tập đoàn Giống cây trồng Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,ln_Total_Assets,Medium
NT2,Điện lực Nhơn Trạch 2,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2020,ln_Total_Assets,Large
NT2,Điện lực Nhơn Trạch 2,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2021,ln_Total_Assets,Large
NT2,Điện lực Nhơn Trạch 2,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2022,ln_Total_Assets,Large
NT2,Điện lực Nhơn Trạch 2,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2023,ln_Total_Assets,Large
NT2,Điện lực Nhơn Trạch 2,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2024,ln_Total_Assets,Large
OPC,Dược phẩm OPC,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2020,ln_Total_Assets,Medium
OPC,Dược phẩm OPC,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2021,ln_Total_Assets,Medium
OPC,Dược phẩm OPC,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2022,ln_Total_Assets,Medium
OPC,Dược phẩm OPC,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2023,ln_Total_Assets,Small
OPC,Dược phẩm OPC,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2024,ln_Total_Assets,Small
PAC,Pin Ắc quy Miền Nam,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử,2020,ln_Revenue,Large
PAC,Pin Ắc quy Miền Nam,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử,2021,ln_Revenue,Large
PAC,Pin Ắc quy Miền Nam,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử,2022,ln_Revenue,Large
PAC,Pin Ắc quy Miền Nam,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử,2023,ln_Revenue,Large
PAC,Pin Ắc quy Miền Nam,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử,2024,ln_Revenue,Large
PAN,Tập đoàn PAN,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2020,ln_Total_Assets,Large
PAN,Tập đoàn PAN,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2021,ln_Total_Assets,Large
PAN,Tập đoàn PAN,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2022,ln_Total_Assets,Large
PAN,Tập đoàn PAN,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2023,ln_Total_Assets,Large
PAN,Tập đoàn PAN,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2024,ln_Total_Assets,Large
PC1,Tập đoàn PC1,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,ln_Revenue,Large
PC1,Tập đoàn PC1,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,ln_Revenue,Large
PC1,Tập đoàn PC1,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,ln_Revenue,Large
PC1,Tập đoàn PC1,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,ln_Revenue,Large
PC1,Tập đoàn PC1,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,ln_Revenue,Large
PDN,Cảng Đồng Nai,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2020,ln_Revenue,Medium
PDN,Cảng Đồng Nai,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2021,ln_Revenue,Medium
PDN,Cảng Đồng Nai,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2022,ln_Revenue,Medium
PDN,Cảng Đồng Nai,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2023,ln_Revenue,Medium
PDN,Cảng Đồng Nai,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2024,ln_Revenue,Medium
PET,Dịch vụ Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2020,ln_Total_Assets,Large
PET,Dịch vụ Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2021,ln_Total_Assets,Large
PET,Dịch vụ Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2022,ln_Total_Assets,Large
PET,Dịch vụ Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2023,ln_Total_Assets,Large
PET,Dịch vụ Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2024,ln_Total_Assets,Large
PGC,Gas Petrolimex,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2020,ln_Total_Assets,Medium
PGC,Gas Petrolimex,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2021,ln_Total_Assets,Medium
PGC,Gas Petrolimex,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2022,ln_Total_Assets,Medium
PGC,Gas Petrolimex,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2023,ln_Total_Assets,Medium
PGC,Gas Petrolimex,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2024,ln_Total_Assets,Medium
PGD,PV GAS D,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2020,ln_Total_Assets,Large
PGD,PV GAS D,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2021,ln_Total_Assets,Large
PGD,PV GAS D,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2022,ln_Total_Assets,Large
PGD,PV GAS D,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2023,ln_Total_Assets,Large
PGD,PV GAS D,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2024,ln_Total_Assets,Large
PGV,Tổng Công ty Phát điện 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2020,ln_Total_Assets,Large
PGV,Tổng Công ty Phát điện 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2021,ln_Total_Assets,Large
PGV,Tổng Công ty Phát điện 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2022,ln_Total_Assets,Large
PGV,Tổng Công ty Phát điện 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2023,ln_Total_Assets,Large
PGV,Tổng Công ty Phát điện 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2024,ln_Total_Assets,Large
PHC,Phuc Hung Holdings,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,ln_Revenue,Large
PHC,Phuc Hung Holdings,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,ln_Revenue,Medium
PHC,Phuc Hung Holdings,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,ln_Revenue,Medium
PHC,Xây dựng Phục Hưng Holdings,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,ln_Revenue,Large
PHC,Xây dựng Phục Hưng Holdings,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,ln_Revenue,Medium
PHR,Cao su Phước Hòa,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,ln_Total_Assets,Large
PHR,Cao su Phước Hòa,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,ln_Total_Assets,Large
PHR,Cao su Phước Hòa,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,ln_Total_Assets,Large
PHR,Cao su Phước Hòa,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,ln_Total_Assets,Large
PHR,Cao su Phước Hòa,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,ln_Total_Assets,Large
PIT,XNK PETROLIMEX,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2020,ln_Total_Assets,Small
PIT,XNK PETROLIMEX,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2021,ln_Total_Assets,Small
PIT,XNK PETROLIMEX,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2022,ln_Total_Assets,Small
PIT,XNK PETROLIMEX,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2023,ln_Total_Assets,Small
PIT,XNK PETROLIMEX,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2024,ln_Total_Assets,Small
PJT,Vận tải thủy PETROLIMEX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2020,ln_Revenue,Medium
PJT,Vận tải thủy PETROLIMEX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2021,ln_Revenue,Medium
PJT,Vận tải thủy PETROLIMEX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2022,ln_Revenue,Medium
PJT,Vận tải thủy PETROLIMEX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2023,ln_Revenue,Medium
PJT,Vận tải thủy PETROLIMEX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2024,ln_Revenue,Small
PLP,SX và CN Nhựa Pha Lê,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,ln_Total_Assets,Medium
PLP,SX và CN Nhựa Pha Lê,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,ln_Total_Assets,Medium
PLP,SX và CN Nhựa Pha Lê,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,ln_Total_Assets,Medium
PLP,SX và CN Nhựa Pha Lê,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,ln_Total_Assets,Medium
PLP,SX và CN Nhựa Pha Lê,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,ln_Total_Assets,Medium
PLX,Petrolimex,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,2020,ln_Revenue,Large
PLX,Petrolimex,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,2021,ln_Revenue,Large
PLX,Petrolimex,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,2022,ln_Revenue,Large
PLX,Petrolimex,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,2023,ln_Revenue,Large
PLX,Petrolimex,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,2024,ln_Revenue,Large
PMG,ĐT và SX Petro Miền Trung,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2020,ln_Total_Assets,Medium
PMG,ĐT và SX Petro Miền Trung,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2021,ln_Total_Assets,Medium
PMG,ĐT và SX Petro Miền Trung,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2022,ln_Total_Assets,Medium
PMG,ĐT và SX Petro Miền Trung,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2023,ln_Total_Assets,Medium
PMG,ĐT và SX Petro Miền Trung,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2024,ln_Total_Assets,Medium
PNC,Văn hóa Phương Nam,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",2020,ln_Total_Assets,Small
PNC,Văn hóa Phương Nam,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",2021,ln_Total_Assets,Small
PNC,Văn hóa Phương Nam,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",2022,ln_Total_Assets,Small
PNC,Văn hóa Phương Nam,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",2023,ln_Total_Assets,Small
PNC,Văn hóa Phương Nam,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",2024,ln_Total_Assets,Small
PNJ,Vàng Phú Nhuận,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2020,ln_Total_Assets,Large
PNJ,Vàng Phú Nhuận,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2021,ln_Total_Assets,Large
PNJ,Vàng Phú Nhuận,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2022,ln_Total_Assets,Large
PNJ,Vàng Phú Nhuận,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2023,ln_Total_Assets,Large
PNJ,Vàng Phú Nhuận,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2024,ln_Total_Assets,Large
POM,Thép Pomina,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2020,ln_Total_Assets,Large
POM,Thép Pomina,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2021,ln_Total_Assets,Large
POM,Thép Pomina,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2022,ln_Total_Assets,Large
POW,Điện lực Dầu khí Việt Nam,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2020,ln_Total_Assets,Large
POW,Điện lực Dầu khí Việt Nam,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2021,ln_Total_Assets,Large
POW,Điện lực Dầu khí Việt Nam,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2022,ln_Total_Assets,Large
POW,Điện lực Dầu khí Việt Nam,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2023,ln_Total_Assets,Large
POW,Điện lực Dầu khí Việt Nam,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2024,ln_Total_Assets,Large
PPC,Nhiệt điện Phả Lại,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2020,ln_Total_Assets,Large
PPC,Nhiệt điện Phả Lại,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2021,ln_Total_Assets,Large
PPC,Nhiệt điện Phả Lại,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2022,ln_Total_Assets,Large
PPC,Nhiệt điện Phả Lại,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2023,ln_Total_Assets,Large
PPC,Nhiệt điện Phả Lại,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2024,ln_Total_Assets,Large
PSH,TMại ĐT Dầu khí Nam Sông Hậu,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2020,ln_Total_Assets,Large
PSH,TMại ĐT Dầu khí Nam Sông Hậu,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2021,ln_Total_Assets,Large
PSH,TMại ĐT Dầu khí Nam Sông Hậu,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2022,ln_Total_Assets,Large
