Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Current_Ratio,Quick_Ratio,Cash_Ratio,Debt_Equity,Net_Leverage,Asset_Turnover,Fixed_Asset_Turnover,Inventory_Turnover,Receivables_Turnover,ln_Total_Assets,ln_Revenue,ROA,ROE,ROS
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,2.0112014339916167,0.7924331849067874,0.44094404976071766,0.32383038707940176,4.630172239662289,0.5851105359995514,4.970386713258688,,8.387135001365907,6.300189586214009,5.765536078299027,0.02628049711127356,0.034790920663456376,0.044915439894409465
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,1.7219964902582756,0.6827647230724979,0.3968682463897742,0.41968493091344766,2.8974564409064647,0.5748988431278835,5.454155281648704,-0.14611295372859082,6.97181744742765,6.3890218017520715,5.836702030532621,0.056864693494171475,0.0807299484546872,0.09891252030493684
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,2.0256191473460654,1.2512689691612955,0.8597743278595402,0.3220454326126934,0.3766419060510107,0.9905214267291446,6.702210489953691,0.520019130411203,14.36125566226751,6.435412772192685,6.42590433792707,0.10326904385186038,0.13652636775463195,0.10425725387170147
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,2.1440213437988094,1.5532140480286265,0.07027035868848815,0.32713659951466073,2.3441416581745824,0.8177416273549872,5.900396082136198,0.09101086931612203,6.048670576022556,6.48063396830148,6.279766697993264,0.09805514742142793,0.1301325749137826,0.1199096929168087
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,1.9704085001286216,1.4727498223107185,0.2586293688523751,0.41577860415339374,2.072050150714203,0.7469942508754005,4.907781316993348,-0.2112486799429453,10.150205177578876,6.645834916067671,6.354577141578329,0.10637392440661629,0.15060192621471785,0.14240260120068793
ACB,ACB,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,2020,,,,11.540286050930199,69.69339493961445,0.0,0.0,,,13.004775306741037,0.0,0.017283020724283726,0.21673402370667277,
ACB,ACB,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,2021,,,,10.754103775493721,65.95450191331663,0.0,0.0,,,13.17641765038025,0.0,0.01819494669821516,0.2138652916803978,
ACB,ACB,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,2022,,,,9.401935188010718,52.715479111744116,0.0,0.0,,,13.317726497118128,0.0,0.022518098020401996,0.23423179616549406,
ACB,ACB,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,2023,,,,9.13015085511984,53.315400524744604,0.0,0.0,,,13.485332297256129,0.0,0.02232172201285171,0.22612241133623714,
ACB,ACB,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,2024,,,,9.352124755986814,61.62463975300757,0.0,0.0,,,13.669335805857951,0.0,0.019432473584031426,0.2011673908593115,
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,2.1262304988205223,1.1494766444252373,0.5610252459164756,0.8017690648675617,4.266883479164047,0.5310600682340335,6.528378721822375,,2.258034167964393,6.817835240920272,6.185920740511315,0.07122707191219861,0.12833473475249665,0.1341224395745934
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,1.8076803967181987,0.6067486442702947,0.20576457694324674,1.4744215797762292,47.6831445757223,0.3002810809701429,17.03636594011286,-0.3856701878456744,1.9664732578490052,7.070352777154163,5.86929503764049,0.03274805468836384,0.08103249321657958,0.10905800186465957
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,2.1660753310098273,1.117820783569729,0.12648391219526328,0.7266060844668227,19.044549531744945,0.30585833548397984,53.2853126992379,-0.4373049717775344,0.742718006279469,7.650061422606841,6.466507909166014,0.038858293352999666,0.06709296573528593,0.1270467038000178
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,1.9808642979829993,0.8105667231678637,0.02192448942516079,0.8303253231925125,87.14413524767484,0.2770317159139741,68.05080183164067,-0.13824026468420803,0.934051436252205,7.763464553611254,6.480949730081577,0.029827140567440517,0.05459337069900906,0.1076668801946946
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,1.1763987792488766,0.4398330085858459,0.034107057313005944,1.2354530019381336,3348.982341617049,0.2355407704217319,107.56478040175278,-0.036143219431241894,1.1641063124909838,8.002975580958335,6.55818926018571,0.017737120006753048,0.03965049816483303,0.07530382096906206
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2020,3.859195015623546,2.605567831744994,0.057256866147961695,0.26628042356273834,1.6860616405114495,0.8429162155364961,5.909900896391134,,5.444316395136841,8.401584253553096,8.230738377690562,0.11047943894383368,0.13989795074077138,0.13106811437186094
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2021,3.0510486884434034,1.8766920412284245,0.08287806397305018,0.3193498385303423,2.4633829988567406,0.6609594834891914,6.1588398835804705,-0.1966923996627503,5.324274404393416,8.513971813490203,8.100011992828383,0.09056523305000543,0.11948722560098747,0.13702085424648638
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2022,2.489400531184633,1.5074277656412731,0.2514756263461559,0.39747015540134,2.0922097670638116,0.8186041658632395,10.191850467887784,-0.09776929040457205,5.039502740891877,8.606706056648767,8.406591953536978,0.11259520401345507,0.15734843725012862,0.13754535917212257
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2023,3.098223269507018,2.234781545184652,0.050155151669238965,0.3231125128190556,3.2155314465322276,0.6812879390330775,9.289725454214219,0.2529780596769942,3.4876017354411744,8.616691685347808,8.233006138063082,0.07908550427165383,0.10463902028443005,0.11608234894616873
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2024,2.83972746542465,2.1612777682292075,0.10706262265530939,0.3504738265527998,3.3560508912756077,0.7058502930103027,10.636124071419038,0.13505764843506182,4.271468858264863,8.637783574226134,8.289505335783417,0.07449095088160938,0.10059807948064367,0.10553364023399521
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,1.3682300356714503,0.2892650223776743,0.04018417049523999,1.3896875031519702,38.488267971201275,0.5735059702939118,2.9534052230177243,,3.9593287299656694,7.414899386946654,6.85936019681938,0.01698263943680241,0.040583201232662534,0.029611966250497973
